Date,NEE,DUK,SO,D,AEP,EXC,SRE,XEL
2015-01-01,,,,,,,,
2015-01-02,20.032852172851562,53.36250686645508,30.940658569335938,49.050907135009766,41.371307373046875,18.12308120727539,40.09217071533203,25.7363338470459
2015-01-05,19.8206729888916,52.59429168701172,30.809049606323242,48.45588302612305,40.76240921020508,17.606935501098633,39.35894012451172,25.44419288635254
2015-01-06,19.897659301757812,53.45773696899414,31.178810119628906,48.20901870727539,40.985679626464844,17.47186851501465,38.990516662597656,25.579570770263672
2015-01-07,20.079797744750977,53.62914276123047,31.523483276367188,48.40525817871094,41.5675163269043,17.49598503112793,39.620033264160156,25.800451278686523
2015-01-08,20.201839447021484,53.84502410888672,31.54857635498047,48.974937438964844,41.92608642578125,17.631057739257812,39.97412872314453,26.09970474243164
2015-01-09,20.02346420288086,53.921199798583984,31.147480010986328,48.42423629760742,41.702823638916016,17.602108001708984,39.61287307739258,25.779075622558594
2015-01-12,19.97276496887207,53.97201156616211,31.15374183654785,48.42423629760742,41.6486930847168,17.669641494750977,39.39826965332031,25.551071166992188
2015-01-13,20.051631927490234,54.2640495300293,31.13493537902832,48.386260986328125,41.85842514038086,17.611753463745117,39.63434600830078,25.757701873779297
2015-01-14,20.175552368164062,54.40373229980469,31.454551696777344,48.392578125,42.4605598449707,17.809532165527344,39.866825103759766,25.985706329345703
2015-01-15,20.09857177734375,55.08304977416992,31.83685302734375,48.84834671020508,42.7311897277832,17.978363037109375,40.11005401611328,26.213720321655273
2015-01-16,20.32013702392578,55.45765686035156,32.181549072265625,49.22181701660156,43.008575439453125,18.031431198120117,40.3997688293457,26.37759780883789
2015-01-19,,,,,,,,
2015-01-20,20.45345687866211,55.673484802246094,32.37582778930664,49.607933044433594,42.98151779174805,17.96871566772461,40.65730285644531,26.55571937561035
2015-01-21,20.63370132446289,56.302059173583984,32.59518051147461,50.17763137817383,43.39421463012695,18.325685501098633,40.95417785644531,26.776611328125
2015-01-22,20.569860458374023,56.270301818847656,32.67037582397461,49.82949447631836,43.35361862182617,17.96871566772461,40.9577522277832,26.73386001586914
2015-01-23,20.55672264099121,56.327457427978516,32.73304748535156,50.06370544433594,43.65129089355469,18.026607513427734,41.16164016723633,26.904865264892578
2015-01-26,20.607418060302734,56.21950912475586,32.73304748535156,49.96240997314453,43.68512725830078,18.01213264465332,40.964908599853516,26.83360481262207
2015-01-27,20.883432388305664,56.327457427978516,32.85212326049805,49.99406814575195,43.46863555908203,18.045896530151367,40.968475341796875,26.883487701416016
2015-01-28,20.63933753967285,55.775089263916016,32.69544219970703,49.27877426147461,42.880027770996094,17.848125457763672,40.53927230834961,26.683979034423828
2015-01-29,20.96605110168457,56.73377227783203,33.084007263183594,50.095340728759766,43.11005783081055,17.862594604492188,41.111549377441406,27.15425682067871
2015-01-30,20.511661529541016,55.32430648803711,31.786714553833008,48.671104431152344,42.49439239501953,17.385042190551758,40.0313606262207,26.740983963012695
2015-02-02,20.66750717163086,55.23544692993164,31.824310302734375,49.19650650024414,42.66352462768555,17.389862060546875,40.48204040527344,26.769479751586914
2015-02-03,20.69942283630371,55.095733642578125,31.83685302734375,49.74087905883789,42.4605598449707,17.81435775756836,40.70737838745117,26.81936264038086
2015-02-04,20.549213409423828,54.58783721923828,30.9970645904541,49.1395149230957,42.09521484375,17.457393646240234,40.07070541381836,26.505849838256836
2015-02-05,20.599912643432617,55.057655334472656,31.15374183654785,49.810489654541016,42.250831604003906,17.655166625976562,40.567867279052734,26.762353897094727
2015-02-06,19.865734100341797,52.765716552734375,30.188621520996094,47.92416000366211,40.36073303222656,16.883359909057617,38.704376220703125,25.44419288635254
2015-02-09,19.62540054321289,52.505401611328125,29.950464248657227,47.62031555175781,39.739803314208984,16.632518768310547,38.58634567260742,25.180561065673828
2015-02-10,20.246910095214844,53.44505310058594,30.50823402404785,48.52552032470703,40.469913482666016,16.883359909057617,39.480533599853516,25.828943252563477
2015-02-11,19.726791381835938,52.46118927001953,30.05073356628418,46.91771697998047,39.76708221435547,16.674081802368164,38.31451416015625,25.33018684387207
2015-02-12,19.779367446899414,51.954833984375,29.502622604370117,46.66450500488281,39.56239700317383,16.761690139770508,38.15354919433594,25.315937042236328
2015-02-13,19.456409454345703,51.17289733886719,29.071744918823242,46.15177536010742,39.46004867553711,16.309062957763672,37.756526947021484,24.93829345703125
2015-02-16,,,,,,,,
2015-02-17,19.418855667114258,50.88446044921875,28.856306076049805,46.32270050048828,39.48733139038086,16.10464859008789,38.00690841674805,25.07367706298828
2015-02-18,19.99530029296875,51.897159576416016,29.680049896240234,47.26585006713867,40.34027099609375,16.498870849609375,39.240901947021484,25.86457633972168
2015-02-19,19.796260833740234,50.74346160888672,29.268171310424805,46.70881271362305,39.855796813964844,16.265262603759766,39.0584831237793,25.807575225830078
2015-02-20,19.828187942504883,50.448631286621094,29.236492156982422,46.83542251586914,40.06733322143555,16.25065803527832,39.323177337646484,25.59381675720215
2015-02-23,19.90141487121582,50.8011589050293,29.445592880249023,46.77845001220703,40.31978988647461,16.440471649169922,39.54133605957031,25.92158317565918
2015-02-24,19.91831398010254,51.179290771484375,29.71172523498535,46.87973403930664,40.4494514465332,16.93202781677246,39.44119644165039,25.900205612182617
2015-02-25,19.62893295288086,50.64092254638672,29.097089767456055,46.43143844604492,39.630638122558594,16.78601837158203,38.85817337036133,25.380062103271484
2015-02-26,19.57219123840332,50.35249328613281,28.995718002319336,45.946109771728516,39.17346954345703,16.528076171875,38.79022979736328,25.237558364868164
2015-02-27,19.568403244018555,50.34608459472656,29.014728546142578,46.0355224609375,39.28945541381836,16.508604049682617,38.70078659057617,25.137800216674805
2015-03-02,19.205263137817383,49.39107894897461,28.431766510009766,44.90522003173828,38.313690185546875,15.978113174438477,38.31808090209961,24.517908096313477
2015-03-03,19.280908584594727,49.679500579833984,28.60917854309082,45.32030487060547,38.7094612121582,16.070579528808594,38.86890411376953,24.717416763305664
2015-03-04,19.17688751220703,49.40388870239258,28.406423568725586,45.09040451049805,38.60710906982422,15.875905990600586,38.597068786621094,24.639039993286133
2015-03-05,19.316852569580078,49.72437286376953,28.526798248291016,45.45441818237305,38.94827651977539,16.04625129699707,38.91897964477539,24.888425827026367
2015-03-06,18.66809844970703,48.04508972167969,27.937509536743164,44.432682037353516,37.535823822021484,15.705562591552734,38.27159118652344,23.976394653320312
2015-03-09,18.71160125732422,47.91690444946289,27.886823654174805,44.42627716064453,37.651817321777344,15.622824668884277,38.62926483154297,24.282779693603516
2015-03-10,18.533811569213867,47.87844467163086,27.836132049560547,44.228328704833984,37.706417083740234,15.637426376342773,38.20005416870117,24.33977699279785
2015-03-11,18.53191375732422,47.609249114990234,27.70307159423828,43.90264129638672,37.37206268310547,15.49141788482666,37.967559814453125,24.118900299072266
2015-03-12,19.012332916259766,48.250186920166016,28.17197036743164,44.585933685302734,38.19087600708008,15.909971237182617,38.80453109741211,24.54641342163086
2015-03-13,19.02935791015625,47.82077407836914,27.84880828857422,44.036746978759766,37.74052810668945,15.763964653015137,38.04267883300781,24.265926361083984
