Date,PLD,AMT,CCI,SPG,O,PSA,WELL,EQIX
2015-01-01,,,,,,,,
2015-01-02,31.632081985473633,77.25251770019531,51.01788330078125,109.11903381347656,28.33493423461914,123.38661193847656,50.14800262451172,175.04214477539062
2015-01-05,31.610219955444336,76.13642883300781,50.69062805175781,109.56644439697266,28.917713165283203,123.96656799316406,50.76715087890625,173.24264526367188
2015-01-06,31.719472885131836,75.93488311767578,50.594390869140625,112.61617279052734,29.2965145111084,126.0819320678711,51.49053192138672,169.4661407470703
2015-01-07,32.2001838684082,76.73324584960938,51.653114318847656,114.68861389160156,29.774402618408203,128.66529846191406,51.96625518798828,170.0221405029297
2015-01-08,32.20747375488281,77.44627380371094,52.468013763427734,114.52373504638672,28.987640380859375,130.41827392578125,51.75120162963867,172.05332946777344
2015-01-09,32.15647888183594,77.05101776123047,52.37176513671875,115.73068237304688,29.33150291442871,130.81358337402344,51.80333709716797,167.50448608398438
2015-01-12,32.484230041503906,76.71772766113281,52.307613372802734,115.84253692626953,29.739429473876953,130.5830078125,52.58537292480469,167.4967498779297
2015-01-13,31.836002349853516,75.86515045166016,52.18570327758789,115.9190673828125,29.797725677490234,131.09042358398438,52.70267868041992,167.7825164794922
2015-01-14,31.843294143676758,75.38457489013672,52.39101791381836,116.94346618652344,30.12990379333496,131.0244903564453,53.37392044067383,169.0413360595703
2015-01-15,31.879703521728516,74.62501525878906,52.37819290161133,117.79133605957031,30.427127838134766,131.43310546875,54.201576232910156,168.5238800048828
2015-01-16,32.15647888183594,75.50859832763672,53.01984405517578,118.2210693359375,30.759307861328125,133.28492736816406,54.94451141357422,170.09164428710938
2015-01-19,,,,,,,,
2015-01-20,31.93068504333496,75.28382873535156,52.622013092041016,117.5322494506836,30.736003875732422,133.50238037109375,54.331905364990234,171.7598876953125
2015-01-21,32.069068908691406,74.98930358886719,52.204952239990234,117.879638671875,30.741830825805664,132.46780395507812,53.71930694580078,172.54759216308594
2015-01-22,32.86296463012695,76.60145568847656,54.70098114013672,120.12279510498047,30.99827003479004,135.24220275878906,54.08427047729492,176.97288513183594
2015-01-23,33.00136947631836,77.1982650756836,55.71479797363281,119.58113098144531,31.20220375061035,133.61447143554688,54.240684509277344,178.0926971435547
2015-01-26,33.3946647644043,78.8724594116211,56.49759292602539,120.78804016113281,31.88991355895996,134.6952362060547,54.14292526245117,177.17372131347656
2015-01-27,34.32695770263672,77.81057739257812,56.33718490600586,120.50546264648438,32.08222579956055,134.8797607421875,54.103816986083984,171.37374877929688
2015-01-28,33.80982208251953,76.64020538330078,55.92652893066406,119.816650390625,32.11137008666992,133.62100219726562,54.116851806640625,167.66671752929688
2015-01-29,33.6787223815918,76.2836685180664,55.66987228393555,120.55255889892578,32.24530029296875,134.56344604492188,54.57304000854492,171.38914489746094
2015-01-30,32.877532958984375,75.14432525634766,55.50946044921875,116.96113586425781,31.759904861450195,132.35574340820312,53.40650177001953,167.4812774658203
2015-02-02,32.88481521606445,75.84190368652344,55.413204193115234,117.40272521972656,31.309598922729492,132.95541381835938,53.40650177001953,168.3617401123047
2015-02-03,32.935813903808594,76.80298614501953,55.97787094116211,117.80307006835938,31.16927146911621,133.79898071289062,53.28269577026367,172.6865997314453
2015-02-04,32.89938735961914,75.84190368652344,55.35546112060547,118.82748413085938,30.888568878173828,133.55511474609375,52.604923248291016,171.54360961914062
2015-02-05,33.35097122192383,77.19052124023438,55.65062713623047,119.64586639404297,31.198528289794922,136.25711059570312,53.19797897338867,174.38572692871094
2015-02-06,32.51337432861328,74.1987075805664,55.60570526123047,114.8534164428711,29.730701446533203,134.74789428710938,50.8575325012207,169.4661407470703
2015-02-09,32.542503356933594,74.9505386352539,55.30413055419922,114.28233337402344,29.917816162109375,133.51560974121094,50.73903274536133,167.82110595703125
2015-02-10,32.688175201416016,74.69476318359375,55.93294906616211,114.65918731689453,29.99385643005371,134.22731018066406,51.022125244140625,169.7672882080078
2015-02-11,32.34585189819336,74.37696838378906,55.939369201660156,114.10763549804688,30.02895736694336,133.66720581054688,50.850929260253906,170.732666015625
2015-02-12,32.608055114746094,74.38471984863281,56.20246124267578,115.47161865234375,30.227787017822266,134.29981994628906,50.98921203613281,175.8839111328125
2015-02-13,31.908843994140625,74.71802520751953,56.46552658081055,114.51683807373047,30.414897918701172,133.5221405029297,50.771934509277344,175.85299682617188
2015-02-16,,,,,,,,
2015-02-17,31.836002349853516,74.57850646972656,56.2088623046875,114.33889770507812,30.280397415161133,133.86489868164062,50.67319869995117,173.90684509277344
2015-02-18,32.01809310913086,74.5630111694336,56.5938606262207,115.21064758300781,30.789146423339844,133.8846893310547,51.42369842529297,176.78750610351562
2015-02-19,31.209627151489258,73.83444213867188,56.33076095581055,112.55986785888672,30.05231475830078,131.0047607421875,50.17942428588867,177.17372131347656
2015-02-20,31.333452224731445,74.81877899169922,56.92109298706055,113.74593353271484,30.391515731811523,131.9207763671875,51.384212493896484,181.78436279296875
2015-02-23,31.65392303466797,75.43883514404297,56.401363372802734,114.81332397460938,30.6546630859375,132.46780395507812,51.80555725097656,179.91537475585938
2015-02-24,31.09309959411621,73.36161804199219,55.70194625854492,112.7081069946289,29.748249053955078,130.81358337402344,50.36376953125,179.3052520751953
2015-02-25,31.246047973632812,75.84190368652344,55.55439376831055,112.95719909667969,29.882740020751953,130.6686553955078,51.10770797729492,176.38592529296875
2015-02-26,30.903728485107422,76.64020538330078,55.23997116088867,110.97657775878906,29.23648452758789,129.66696166992188,50.08068084716797,174.8489990234375
