Date,LIN,APD,ECL,SHW,PPG,MLM,VMC,NUE,STLD,FCX,ALB,DD
2015-01-01,,,,,,,,,,,,
2015-01-02,106.32484436035156,103.62751770019531,92.69917297363281,78.92682647705078,94.35295104980469,101.65798950195312,61.19902038574219,37.831016540527344,15.79330825805664,20.731447219848633,51.527462005615234,20.967378616333008
2015-01-05,103.5184326171875,100.31410217285156,90.62852478027344,78.69221496582031,91.91807556152344,97.5128173828125,59.5086669921875,36.38758087158203,14.840947151184082,19.499008178710938,49.8187141418457,20.318912506103516
2015-01-06,102.19294738769531,100.27847290039062,87.9179916381836,78.45465850830078,91.69185638427734,96.57742309570312,59.37163543701172,35.862674713134766,14.412389755249023,19.833524703979492,48.8447151184082,19.992372512817383
2015-01-07,103.33843231201172,101.36157989501953,89.20659637451172,79.7929458618164,92.09902954101562,98.83344268798828,60.49543762207031,36.194576263427734,14.618727684020996,20.124032974243164,48.648216247558594,19.960180282592773
2015-01-08,105.0402603149414,103.70591735839844,91.19728088378906,81.976318359375,94.5503921508789,102.63014221191406,62.38681411743164,37.074554443359375,15.126657485961914,20.5729923248291,50.17753982543945,20.45688247680664
2015-01-09,103.62479400634766,102.15251922607422,90.0509033203125,82.52970886230469,93.35350799560547,100.67676544189453,62.39595031738281,36.881587982177734,14.999675750732422,20.643413543701172,50.42530822753906,20.424686431884766
2015-01-12,103.39571380615234,101.44707489013672,89.5443344116211,81.53128814697266,93.057373046875,100.96104431152344,62.35936737060547,35.50760269165039,14.420319557189941,20.30889320373535,51.00628662109375,20.305110931396484
2015-01-13,102.68390655517578,100.91265106201172,90.57518005371094,80.94178771972656,93.36173248291016,99.73214721679688,61.54621124267578,35.245147705078125,13.896524429321289,18.776607513427734,52.108436584472656,20.0567569732666
2015-01-14,101.93930053710938,99.70841217041016,90.0509033203125,80.96585083007812,93.35350799560547,97.8154525756836,61.89341735839844,34.280269622802734,13.690179824829102,16.724027633666992,50.85249710083008,19.973970413208008
2015-01-15,101.84112548828125,99.37352752685547,89.47322845458984,81.37789154052734,93.03680419921875,95.90794372558594,60.50460433959961,34.12588119506836,13.634626388549805,16.358135223388672,49.622188568115234,19.91878318786621
2015-01-16,101.072021484375,99.5516586303711,90.83292388916016,82.34925079345703,94.75604248046875,98.98932647705078,61.11677551269531,34.28798294067383,13.769546508789062,17.17024040222168,49.99812316894531,20.599456787109375
2015-01-19,,,,,,,,,,,,
2015-01-20,102.20111846923828,100.74166107177734,91.14395904541016,81.95530700683594,93.84294891357422,99.53040313720703,61.20813751220703,34.033260345458984,13.594943046569824,17.197011947631836,49.38298416137695,20.295907974243164
2015-01-21,102.82296752929688,101.96723937988281,92.42369842529297,82.1688232421875,93.78945922851562,101.19949340820312,62.112701416015625,33.97150802612305,13.72986125946045,17.714624404907227,50.07501983642578,20.576459884643555
2015-01-22,104.28752899169922,102.83656311035156,94.5298843383789,83.33870697021484,95.15501403808594,101.75891876220703,63.88526153564453,34.61989212036133,14.150484085083008,17.8663330078125,50.87812423706055,20.86159896850586
2015-01-23,103.37115478515625,102.2237777709961,94.09442138671875,82.40641784667969,93.69902038574219,100.72261810302734,63.72080612182617,33.80940246582031,13.507640838623047,17.17024040222168,48.56277084350586,20.49827003479004
2015-01-26,101.88202667236328,101.95299530029297,95.10752868652344,82.7913589477539,93.70310974121094,103.10702514648438,64.43350219726562,34.21852111816406,13.864774703979492,17.455810546875,48.819091796875,20.493675231933594
2015-01-27,100.8020248413086,101.07652282714844,94.62763214111328,82.4575424194336,92.9380874633789,102.31832122802734,64.16849517822266,34.59674072265625,14.023505210876465,16.402753829956055,48.16120147705078,20.314308166503906
2015-01-28,100.33565521240234,98.92460632324219,92.05039978027344,81.4801254272461,91.202392578125,98.63165283203125,63.985740661621094,33.994667053222656,14.04731559753418,15.546030044555664,47.30683517456055,19.790006637573242
2015-01-29,99.37016296386719,104.73912048339844,92.76139068603516,82.66502380371094,92.83525085449219,100.89684295654297,65.18268585205078,33.75537109375,13.436219215393066,15.019497871398926,40.81357192993164,20.700637817382812
2015-01-30,98.66650390625,103.7557601928711,92.21924591064453,81.58238220214844,91.6712875366211,98.80592346191406,64.42432403564453,33.693626403808594,13.523514747619629,15.001648902893066,41.23222351074219,20.769622802734375
2015-02-02,100.00017547607422,105.23076629638672,91.97044372558594,82.06053924560547,92.02088928222656,103.9415283203125,65.27405548095703,34.12588119506836,13.60288143157959,15.572798728942871,40.941741943359375,20.79721450805664
2015-02-03,101.03113555908203,105.75092315673828,94.27215576171875,82.27408599853516,93.32471466064453,105.64730834960938,65.6212387084961,35.29917907714844,14.356826782226562,16.93820571899414,42.18912124633789,21.565275192260742
2015-02-04,100.40111541748047,105.7580795288086,92.814697265625,82.4334487915039,93.55093383789062,105.44554901123047,65.30148315429688,35.12164306640625,14.293340682983398,16.32244110107422,41.736305236816406,21.257131576538086
2015-02-05,101.95568084716797,107.96703338623047,94.53874969482422,83.57627868652344,94.7519302368164,107.84830474853516,67.62223052978516,36.76579284667969,15.110782623291016,17.48259162902832,42.50524139404297,21.98379135131836
2015-02-06,102.47933197021484,107.11192321777344,94.80537414550781,84.30108642578125,94.95346069335938,108.1876220703125,68.73696899414062,37.25981521606445,15.086978912353516,16.82219696044922,43.641563415527344,22.25973129272461
2015-02-09,102.30748748779297,106.72000885009766,95.30302429199219,82.52068328857422,93.29180908203125,109.27892303466797,69.59583282470703,37.089988708496094,15.213958740234375,17.41119384765625,44.54719924926758,22.195348739624023
