Date,JPM,BAC,C,WFC,GS,MS,BLK,BK,STT,TROW,SCHW,AXP,COF,USB,PNC,TFC,CMA,MTB,RF,CB,TRV,AIG,MET,PRU
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,46.720943450927734,14.27745532989502,40.41282653808594,40.15971755981445,156.37380981445312,28.71561622619629,272.53717041015625,30.796178817749023,58.12138748168945,57.45052719116211,26.447301864624023,79.46626281738281,67.56950378417969,30.783926010131836,64.3298568725586,25.18904685974121,31.043540954589844,92.27085876464844,7.179269313812256,93.29061126708984,83.09917449951172,43.31412124633789,33.22153854370117,55.96086502075195
2015-01-05,45.27048110961914,13.862689971923828,39.13923263549805,39.05845260620117,151.49139404296875,27.818012237548828,265.48553466796875,30.004573822021484,57.15704345703125,56.13082504272461,25.563386917114258,77.36468505859375,66.0131607055664,30.042306900024414,62.360721588134766,24.393939971923828,29.937002182006836,89.29794311523438,6.933355808258057,91.76618194580078,82.09825134277344,42.45725631713867,32.11231994628906,54.18470001220703
2015-01-06,44.096675872802734,13.447931289672852,37.7613410949707,38.24349594116211,148.42684936523438,27.016857147216797,261.36004638671875,29.13686180114746,55.5250129699707,55.139381408691406,24.626964569091797,75.71589660644531,64.78448486328125,29.6440372467041,60.745758056640625,23.918182373046875,29.038354873657227,87.29637908935547,6.701107501983643,90.95914459228516,81.36532592773438,41.855125427246094,31.138656616210938,53.060665130615234
2015-01-07,44.1639518737793,13.51174259185791,38.11140441894531,38.471099853515625,150.63882446289062,27.402599334716797,266.8912353515625,29.738176345825195,56.044307708740234,55.94995880126953,25.10830307006836,77.36951446533203,65.52169036865234,29.904983520507812,61.44700241088867,24.23752784729004,29.320026397705078,87.48031616210938,6.742092609405518,92.25531005859375,82.75242614746094,42.055850982666016,31.551542282104492,53.091697692871094
2015-01-08,45.15085983276367,13.790908813476562,38.68489074707031,39.322750091552734,153.04380798339844,27.810598373413086,270.00836181640625,30.149198532104492,57.23120880126953,56.613128662109375,25.764678955078125,78.46621704101562,66.16059875488281,30.124711990356445,62.629886627197266,24.6416015625,29.937002182006836,89.25379180908203,6.844554424285889,93.74710083007812,84.47051239013672,41.87056350708008,32.032196044921875,53.94252014160156
2015-01-09,44.365821838378906,13.543642044067383,37.82093811035156,38.67666244506836,150.69509887695312,27.358097076416016,266.8072509765625,29.707731246948242,56.4003791809082,56.184410095214844,24.898271560668945,77.47233581542969,65.01382446289062,29.499828338623047,61.461158752441406,24.002910614013672,28.602439880371094,87.4582748413086,6.646459579467773,92.41834259033203,83.40654754638672,41.160377502441406,31.44061279296875,52.986122131347656
2015-01-12,43.98451232910156,13.30435848236084,37.523014068603516,38.2141227722168,148.8612060546875,26.979766845703125,265.0500183105469,29.281490325927734,55.9107780456543,55.554718017578125,24.653223037719727,76.68407440185547,64.75990295410156,29.22515869140625,61.029090881347656,23.78132438659668,28.327482223510742,86.88426208496094,6.516674518585205,91.30152130126953,82.91001892089844,40.419307708740234,31.0770206451416,52.296783447265625
2015-01-13,43.99198532104492,13.120902061462402,37.25489044189453,38.06729507446289,148.74862670898438,26.727554321289062,265.8522033691406,29.22820281982422,55.77725601196289,55.64179992675781,24.67072868347168,76.45274353027344,64.21114349365234,28.90928077697754,60.20280838012695,23.742225646972656,28.025693893432617,87.4582748413086,6.414210319519043,91.44010162353516,83.03612518310547,40.04103469848633,30.694944381713867,51.78133773803711
2015-01-14,42.474246978759766,12.793874740600586,36.532432556152344,37.62678527832031,144.96810913085938,26.119264602661133,264.1485900878906,28.489892959594727,54.41230392456055,54.777626037597656,23.8305721282959,74.60205841064453,62.86772918701172,28.387413024902344,59.12015151977539,23.240398406982422,27.770864486694336,84.853271484375,6.257098197937012,89.54886627197266,81.78302764892578,39.66279602050781,30.158823013305664,50.41504669189453
2015-01-15,41.113525390625,12.123875617980957,35.17689895629883,37.23767852783203,143.56861877441406,25.65192222595215,261.62738037109375,28.35287857055664,53.98945999145508,54.28190612792969,23.340490341186523,73.58243560791016,63.031524658203125,28.112741470336914,58.707008361816406,23.13611602783203,27.469074249267578,84.16891479492188,6.140972137451172,89.52440643310547,82.12977600097656,38.90629196166992,29.567224502563477,49.54562759399414
2015-01-16,41.81631851196289,12.267447471618652,35.45990753173828,37.913116455078125,142.5550537109375,25.881881713867188,265.9210205078125,28.51272201538086,54.64228057861328,54.59675216674805,23.541770935058594,73.71954345703125,62.78583908081055,28.51101303100586,60.1458740234375,23.475011825561523,27.81110191345215,84.64722442626953,6.195620536804199,91.09773254394531,83.9660873413086,39.45435333251953,30.189634323120117,50.303279876708984
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,41.6518440246582,12.171735763549805,35.1992301940918,38.17742919921875,141.2681427001953,25.778032302856445,264.7903137207031,28.345272064208984,54.301025390625,54.50297164916992,23.410499572753906,74.7648696899414,63.3919677734375,28.298131942749023,60.27407455444336,23.305564880371094,27.100221633911133,83.05037689208984,5.970200538635254,90.05426025390625,83.41441345214844,39.09927749633789,30.03557014465332,49.99897384643555
2015-01-21,41.78641128540039,12.291374206542969,35.5567512512207,38.25083923339844,142.49073791503906,25.76319122314453,267.01348876953125,28.58123016357422,55.443416595458984,54.402488708496094,23.366735458374023,75.11612701416016,63.24453353881836,28.977954864501953,60.38801956176758,23.22735595703125,27.361774444580078,82.62359619140625,5.94970703125,90.11134338378906,82.76029968261719,39.238216400146484,30.3621883392334,50.054866790771484
2015-01-22,43.05742645263672,12.833758354187012,36.91972732543945,39.4769172668457,146.4240264892578,26.35664176940918,275.638916015625,29.471769332885742,57.18669891357422,55.70878982543945,24.19814682006836,72.2886962890625,62.417213439941406,29.82257652282715,62.01203536987305,24.05504608154297,28.642690658569336,86.19253540039062,6.277591705322266,92.46721649169922,85.25074005126953,40.357547760009766,30.94145393371582,51.06092071533203
2015-01-23,42.37706756591797,12.546614646911621,36.21216583251953,39.10248947143555,145.1772918701172,26.07476043701172,271.3070373535156,28.086484909057617,53.70758819580078,55.04558181762695,23.795568466186523,72.08306884765625,63.563987731933594,29.747037887573242,61.456451416015625,23.996389389038086,28.0793514251709,84.78704071044922,6.154636383056641,92.01887512207031,84.3286361694336,39.76314926147461,30.054073333740234,50.11076354980469
2015-01-26,42.44435501098633,12.642330169677734,36.41325378417969,39.33743667602539,145.1209716796875,26.04509735107422,273.0414123535156,28.482282638549805,54.360382080078125,55.548004150390625,23.94434356689453,71.37189483642578,64.04728698730469,29.891246795654297,61.81261444091797,24.107189178466797,28.488441467285156,86.0233154296875,6.202451705932617,92.0351791381836,84.3838119506836,39.531558990478516,30.066396713256836,50.14802169799805
2015-01-27,42.018192291259766,12.466850280761719,35.981266021728516,38.889583587646484,141.95986938476562,25.711275100708008,268.5262756347656,27.96470069885254,53.811439514160156,54.91160202026367,23.4630069732666,70.60076141357422,62.88410186767578,29.513561248779297,60.900875091552734,23.65097427368164,28.381141662597656,85.47138214111328,6.1273112297058105,90.73088073730469,83.57994079589844,38.960330963134766,29.65966796875,49.35309600830078
2015-01-28,40.934085845947266,12.123875617980957,35.087520599365234,38.29489517211914,139.19288635253906,25.123537063598633,263.5984802246094,27.142654418945312,52.876739501953125,53.076080322265625,22.719118118286133,70.02667999267578,60.98373794555664,28.90928077697754,59.58315658569336,23.044879913330078,27.589778900146484,83.68324279785156,5.970200538635254,89.10049438476562,82.4214096069336,37.98766326904297,28.864707946777344,47.812957763671875
2015-01-29,41.621925354003906,12.307327270507812,35.47488021850586,38.73540115356445,141.55770874023438,25.569921493530273,265.0577087402344,27.736352920532227,53.26248550415039,53.04928970336914,23.034177780151367,70.25801849365234,61.40153503417969,29.232027053833008,60.92937469482422,23.246906280517578,28.327482223510742,84.91950225830078,6.045342922210693,89.7771224975586,82.38984680175781,38.0262565612793,28.88320541381836,47.79433822631836
2015-01-30,40.65744400024414,12.083992958068848,34.97578048706055,38.11867904663086,138.6781005859375,25.153289794921875,260.145263671875,27.52988624572754,53.047359466552734,52.73443603515625,22.73662757873535,69.1355972290039,59.968048095703125,28.77881622314453,60.217071533203125,22.999263763427734,27.831220626831055,83.27119445800781,5.942878246307373,88.0081558227539,81.03431701660156,37.72519302368164,28.655200958251953,47.12360382080078
2015-02-02,41.472408294677734,12.331252098083496,35.54939270019531,38.77210998535156,141.155517578125,25.60711669921875,265.5924377441406,28.042238235473633,54.137855529785156,53.59859848022461,23.27923011779785,70.36943054199219,60.95915985107422,29.341896057128906,61.38524627685547,23.4359073638916,28.803630828857422,85.0298843383789,6.099986553192139,89.10862731933594,82.4214096069336,38.952598571777344,29.493282318115234,48.51470947265625
2015-02-03,42.406959533691406,12.674232482910156,36.413536071777344,39.24198532104492,144.9761962890625,26.068368911743164,269.649169921875,28.600492477416992,55.354427337646484,54.42927932739258,24.171884536743164,71.74029541015625,61.852046966552734,29.71957778930664,62.403831481933594,23.77480125427246,29.460847854614258,87.04615020751953,6.2229437828063965,90.49449157714844,83.57205200195312,39.62420654296875,30.263578414916992,49.73814010620117
2015-02-04,42.15275955200195,12.594473838806152,36.055965423583984,39.190250396728516,143.80181884765625,25.867496490478516,267.9913024902344,28.424583435058594,54.72386932373047,54.301998138427734,24.163129806518555,71.63751220703125,61.68000793457031,29.92557716369629,62.503509521484375,23.7031192779541,29.192602157592773,87.26692199707031,6.175128936767578,90.99172973632812,84.1158447265625,39.76314926147461,30.26980209350586,49.61394119262695
2015-02-05,42.44435501098633,12.738041877746582,36.16025161743164,39.66322326660156,145.40249633789062,25.986534118652344,274.1337585449219,28.852842330932617,55.40633773803711,54.764225006103516,24.487648010253906,72.59711456298828,62.32148742675781,30.21398162841797,63.26567840576172,24.17235565185547,29.99734878540039,87.90714263916016,6.284421920776367,92.1982421875,84.65177917480469,39.84805679321289,30.40013313293457,46.77582550048828
2015-02-06,43.281707763671875,13.152812004089355,36.607234954833984,40.23965835571289,147.54209899902344,26.626338958740234,276.89190673828125,29.418729782104492,56.4671516418457,55.139381408691406,25.531360626220703,72.83702850341797,62.683326721191406,30.495515823364258,64.4195785522461,24.78496551513672,30.94294548034668,89.5186767578125,6.53033447265625,92.01887512207031,84.48625946044922,40.218597412109375,30.784940719604492,48.31599044799805
