Date,AMZN,TSLA,HD,LOW,MCD,SBUX,NKE,TGT,BKNG,MAR,HLT,MGM,ROST,TJX,GM,F,ULTA,ORLY,AZO,PVH,TPR,CCL,RCL,EBAY,LULU
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,15.425999641418457,14.620667457580566,79.90188598632812,55.49311065673828,70.67050170898438,32.65935134887695,41.38150405883789,54.4195442199707,1125.82373046875,69.7999038696289,50.33696365356445,19.853605270385742,42.17816925048828,29.191869735717773,26.952726364135742,8.528308868408203,126.83999633789062,12.807332992553711,616.7899780273438,124.31999969482422,27.04351234436035,38.91590881347656,72.92880249023438,21.054210662841797,55.34000015258789
2015-01-05,15.10949993133545,14.005999565124512,78.22555541992188,54.16521453857422,69.88995361328125,32.033756256103516,40.71526336669922,53.444305419921875,1081.97607421875,67.88768005371094,48.70692443847656,19.30579376220703,42.14666748046875,28.86541748046875,26.558189392089844,8.195175170898438,127.1500015258789,12.58133316040039,608.489990234375,119.9608154296875,26.62310791015625,38.72820281982422,71.83860778808594,20.878173828125,55.959999084472656
2015-01-06,14.76449966430664,14.085332870483398,77.98606872558594,54.28816223144531,70.01876831054688,31.773080825805664,40.47575759887695,53.43708801269531,1064.6065673828125,67.03482818603516,48.2606086730957,18.569074630737305,42.22766876220703,28.723665237426758,26.960464477539062,8.11744213104248,126.94999694824219,12.538666725158691,607.8200073242188,115.10966491699219,26.311429977416992,39.10361862182617,72.04962158203125,20.608484268188477,55.56999969482422
2015-01-07,14.920999526977539,14.063332557678223,80.65898132324219,55.9029541015625,71.23881530761719,32.55508804321289,41.31182861328125,55.4598388671875,1054.3641357421875,68.56996154785156,49.03681182861328,19.29635238647461,43.05116271972656,29.312135696411133,27.726350784301758,8.350640296936035,130.5800018310547,12.652667045593262,607.239990234375,118.05182647705078,27.123245239257812,39.24866485595703,73.13981628417969,20.574769973754883,57.650001525878906
2015-01-08,15.02299976348877,14.041333198547363,82.4434814453125,57.08332061767578,71.50405883789062,33.08041000366211,42.26548767089844,55.719905853271484,1067.4554443359375,70.84127807617188,50.395172119140625,19.570255279541016,43.62266540527344,29.46677017211914,28.004854202270508,8.561626434326172,132.24000549316406,12.88266658782959,606.0,117.18590545654297,27.81184196472168,39.82886505126953,74.3003921508789,21.129127502441406,59.06999969482422
2015-01-09,14.846500396728516,13.77733325958252,81.02980041503906,56.009521484375,70.63257598876953,31.997655868530273,41.79954147338867,55.21421813964844,1037.0045166015625,70.67970275878906,49.890628814697266,19.371912002563477,42.83966827392578,29.10167121887207,27.53294563293457,8.445026397705078,131.57000732421875,12.52066707611084,606.02001953125,115.9952163696289,27.68861198425293,39.504634857177734,73.78164672851562,20.83696937561035,58.630001068115234
2015-01-12,14.570500373840332,13.480667114257812,80.66670227050781,55.61606216430664,70.48104095458984,32.17411804199219,41.74293899536133,55.35869216918945,1025.1949462890625,69.94353485107422,49.386112213134766,19.098003387451172,43.1231689453125,28.951324462890625,27.726350784301758,8.450580596923828,129.83999633789062,12.371999740600586,597.3599853515625,115.85748291015625,27.95679473876953,39.49611282348633,73.20137023925781,20.67591094970703,62.59000015258789
2015-01-13,14.737000465393066,13.616666793823242,80.13365936279297,55.62425994873047,70.34464263916016,32.43075942993164,41.3727912902832,54.867462158203125,1023.0656127929688,69.50363159179688,49.77420425415039,19.220788955688477,42.686668395996094,28.848236083984375,27.26991081237793,8.445026397705078,128.80999755859375,12.183333396911621,588.9500122070312,116.07400512695312,27.456668853759766,39.21455001831055,73.21015167236328,20.649686813354492,63.060001373291016
2015-01-14,14.66349983215332,12.845999717712402,79.29161834716797,55.23900604248047,69.3670883178711,32.25029373168945,40.806705474853516,53.69715118408203,1020.9462280273438,68.74055480957031,50.317535400390625,19.10744857788086,41.68317413330078,28.448747634887695,26.53498077392578,8.389504432678223,128.75,12.163999557495117,582.780029296875,112.88577270507812,26.789813995361328,38.80498123168945,72.04083251953125,20.237668991088867,63.400001525878906
2015-01-15,14.34749984741211,12.791333198547363,78.03239440917969,54.38652420043945,69.245849609375,31.913448333740234,40.41478729248047,54.66516876220703,984.0581665039062,68.31859588623047,49.67717742919922,19.11689567565918,41.0126838684082,28.04068946838379,25.8619327545166,8.25069522857666,127.13999938964844,11.997332572937012,575.280029296875,109.07765197753906,26.282432556152344,38.540489196777344,71.65398406982422,19.859357833862305,62.5099983215332
2015-01-16,14.536999702453613,12.871333122253418,80.4349365234375,55.9246940612793,69.3292236328125,32.326499938964844,40.49317169189453,54.137813568115234,993.8862915039062,68.13008880615234,50.181705474853516,18.899654388427734,41.8046760559082,28.672122955322266,26.055343627929688,8.3395357131958,129.72000122070312,12.194000244140625,580.8499755859375,109.63851928710938,26.173707962036133,38.78792190551758,72.9639892578125,20.09908103942871,63.0
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,14.472000122070312,12.795332908630371,79.76285552978516,54.715545654296875,68.80632019042969,32.57111740112305,40.76314926147461,53.2203369140625,1010.3786010742188,68.51612091064453,50.02647399902344,18.068483352661133,41.314178466796875,28.444456100463867,26.24874496459961,8.333982467651367,127.16000366210938,12.428000450134277,584.3300170898438,109.15635681152344,26.13021469116211,38.719661712646484,72.97278594970703,20.1065673828125,63.0
