Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2024-06-06,320.94134521484375,363.41326904296875,190.28477478027344,159.12704467773438,449.8560791015625,433.635009765625,105.07513427734375,191.4199981689453,95.37583923339844,232.48052978515625,103.24633026123047,308.4198913574219,507.633056640625,289.4150695800781,125.5497055053711,242.01409912109375,265.9218444824219,49.51239013671875,26.895177841186523,221.82647705078125,217.61221313476562,32.248878479003906,545.4952392578125,248.79574584960938,96.87263488769531
2024-06-07,321.57684326171875,360.7801818847656,190.58602905273438,160.41497802734375,451.3055725097656,429.01385498046875,105.00714874267578,190.24000549316406,97.93939971923828,231.9499053955078,105.20465850830078,309.7678527832031,508.53961181640625,290.25927734375,125.62271118164062,239.55789184570312,263.6429748535156,49.52220916748047,26.798606872558594,221.4961395263672,217.00209045410156,32.0142707824707,549.1328735351562,249.42929077148438,96.14176940917969
2024-06-10,322.2318115234375,360.5060729980469,192.375244140625,161.32643127441406,448.74249267578125,424.850830078125,104.01641082763672,190.1199951171875,97.74517822265625,230.9368896484375,105.93538665771484,317.786865234375,518.2543334960938,285.9317321777344,125.65921020507812,245.3502960205078,264.9036560058594,49.581119537353516,28.68175506591797,222.44830322265625,218.00929260253906,32.19022750854492,551.5809326171875,248.76649475097656,95.25499725341797
2024-06-11,319.9832763671875,357.4031982421875,191.22503662109375,158.86947631835938,444.26904296875,419.0498962402344,103.85128784179688,185.5,98.38607025146484,229.84671020507812,104.84417724609375,314.0380859375,515.298583984375,283.9619445800781,125.35804748535156,244.10281372070312,263.4781188964844,48.39313507080078,27.088321685791016,220.9520263671875,217.8349609375,31.936067581176758,550.807861328125,248.63003540039062,94.0368881225586
2024-06-12,321.3714904785156,362.2582092285156,190.3304443359375,159.55307006835938,440.726806640625,416.4468078613281,103.7055892944336,182.6699981689453,98.27925872802734,231.36138916015625,105.71128845214844,321.90948486328125,525.1119384765625,285.60174560546875,124.51835632324219,240.39918518066406,263.9630126953125,49.69893264770508,27.46495246887207,220.03872680664062,217.06019592285156,32.02404022216797,553.2560424804688,255.52101135253906,94.96263885498047
2024-06-13,319.0545349121094,369.951904296875,190.44911193847656,154.24288940429688,440.1988525390625,412.810302734375,102.01553344726562,180.6999969482422,98.59969329833984,232.12356567382812,105.74052429199219,323.0705261230469,521.1116943359375,283.8357849121094,123.11283111572266,240.39918518066406,262.1980895996094,49.257118225097656,27.435977935791016,215.812255859375,214.8424072265625,31.79921531677246,542.3334350585938,254.11749267578125,94.95291137695312
2024-06-14,314.2740173339844,370.0008239746094,190.35781860351562,154.43113708496094,439.9876403808594,413.4634704589844,101.2385025024414,177.27000427246094,97.97823333740234,226.88485717773438,103.72372436523438,313.8904724121094,495.8886413574219,283.1177673339844,123.80646514892578,238.30076599121094,258.4160461425781,47.8335075378418,27.407005310058594,215.79283142089844,212.96360778808594,31.457080841064453,544.5933227539062,247.94775390625,94.65081024169922
2024-06-17,315.1831970214844,371.1950378417969,193.47979736328125,161.71279907226562,440.6308288574219,419.0108947753906,101.47161102294922,178.38999938964844,97.61893463134766,230.53170776367188,104.6103515625,320.0990295410156,498.5784606933594,285.1069030761719,123.98899841308594,241.81101989746094,261.74224853515625,48.80549240112305,27.783634185791016,215.09329223632812,213.9320831298828,31.87741470336914,548.6967163085938,251.9634552001953,94.98213958740234
2024-06-18,317.8619079589844,374.6601257324219,194.3196258544922,163.43661499023438,441.5811767578125,415.1598815917969,101.76299285888672,174.99000549316406,97.85198974609375,232.01744079589844,105.88667297363281,322.3227233886719,499.36663818359375,289.15313720703125,122.4830551147461,239.90599060058594,265.5048828125,48.677860260009766,27.628150939941406,216.2592010498047,214.9392852783203,32.28797912597656,555.1491088867188,253.7178497314453,94.0368881225586
2024-06-19,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,321.7626037597656,373.45611572265625,195.47894287109375,163.46633911132812,447.66729736328125,423.5931396484375,102.05438232421875,176.3000030517578,98.71623229980469,234.75738525390625,105.36055755615234,318.0426330566406,500.50958251953125,290.7347412109375,124.91993713378906,244.1898651123047,269.8880920410156,48.707313537597656,27.268585205078125,218.77565002441406,217.41851806640625,32.56169128417969,554.2769165039062,253.92251586914062,94.13435363769531
2024-06-21,320.5014343261719,367.1034851074219,196.3461456298828,162.71340942382812,448.8769226074219,421.2630310058594,102.57889556884766,176.55999755859375,99.42508697509766,231.93060302734375,105.62362670898438,314.913818359375,496.7359619140625,289.39569091796875,124.67351531982422,245.29226684570312,268.5595703125,48.48149871826172,27.560123443603516,219.68894958496094,217.77684020996094,32.659446716308594,556.5269165039062,251.97317504882812,93.4717025756836
2024-06-24,322.61309814453125,370.167236328125,197.07644653320312,159.0478057861328,452.63031005859375,419.87860107421875,99.03364562988281,179.10000610351562,100.0077133178711,234.04347229003906,106.51022338867188,316.9012451171875,502.7757263183594,289.6673583984375,126.49891662597656,249.4051055908203,275.36712646484375,48.501136779785156,27.68645477294922,219.9318389892578,211.78208923339844,32.46393966674805,557.5774536132812,259.1370544433594,94.39746856689453
2024-06-25,320.0712890625,361.6513671875,195.76193237304688,158.2453155517578,449.328125,417.7434997558594,98.65483856201172,175.10000610351562,99.09493255615234,229.5669403076172,105.09748077392578,317.5704040527344,497.8591613769531,286.5138244628906,122.62909698486328,249.2786865234375,274.55255126953125,47.921871185302734,27.70589256286621,217.69717407226562,206.63961791992188,31.97516441345215,558.0135498046875,259.1370544433594,93.21834564208984
2024-06-26,319.4162902832031,368.2878723144531,194.830810546875,159.14688110351562,448.29132080078125,420.67803955078125,98.35374450683594,178.5,98.51231384277344,230.4641571044922,103.39247131347656,310.2007751464844,495.2285461425781,285.7861633300781,126.08818817138672,287.98602294921875,273.14642333984375,47.30332946777344,27.647584915161133,217.25994873046875,205.78736877441406,32.26842498779297,552.61181640625,260.22869873046875,93.3060531616211
2024-06-27,320.1299133300781,368.8164367675781,195.6980438232422,159.0081787109375,448.4256896972656,424.0123596191406,97.73210906982422,182.50999450683594,100.18250274658203,229.02664184570312,105.5066909790039,308.89215087890625,496.7950744628906,283.8163757324219,123.97075653076172,287.28594970703125,272.0020751953125,47.7156867980957,27.667022705078125,217.12391662597656,203.27903747558594,32.28797912597656,557.0918579101562,260.8817138671875,93.54966735839844
2024-06-28,325.6436767578125,367.1557312011719,194.9312286376953,157.49240112304688,448.3969421386719,425.0263366699219,97.50869750976562,182.00999450683594,99.23088073730469,229.96804809570312,107.3286361694336,308.5084533691406,498.3616943359375,281.5264892578125,124.90170288085938,291.534912109375,268.54986572265625,46.57678985595703,27.80307388305664,219.83468627929688,207.91795349121094,32.698543548583984,558.6776123046875,268.3087463378906,93.80301666259766
2024-07-01,321.7136535644531,354.7347412109375,192.56695556640625,157.49240112304688,447.76336669921875,424.10009765625,96.69281768798828,186.6999969482422,97.69662475585938,226.52279663085938,105.27287292480469,307.347412109375,493.63238525390625,279.3238830566406,124.08026885986328,290.40704345703125,264.0502624511719,46.06625747680664,27.317174911499023,218.4744415283203,207.30783081054688,32.83539962768555,557.6568603515625,258.7959289550781,92.52645111083984
2024-07-02,320.4232482910156,358.62615966796875,194.6482391357422,159.94935607910156,447.052978515625,426.41070556640625,97.52813720703125,185.4199981689453,98.67738342285156,228.5608367919922,106.46150970458984,308.2427978515625,502.51953125,277.3250427246094,123.13107299804688,289.9598083496094,259.4537048339844,45.86007308959961,27.492097854614258,219.0962677001953,208.75083923339844,33.0015754699707,558.1325073242188,258.19158935546875,93.50093841552734
2024-07-03,323.20941162109375,356.5035705566406,193.94534301757812,161.4849395751953,447.3697509765625,426.13775634765625,97.84866333007812,184.30999755859375,98.67738342285156,229.0266571044922,106.74405670166016,313.3001403808594,505.1698913574219,276.4226379394531,123.71520233154297,285.5746765136719,263.8465576171875,46.5277099609375,27.77391815185547,219.16429138183594,209.47718811035156,32.796295166015625,555.49609375,259.5951232910156,94.04664611816406
2024-07-04,,,,,,,,,,,,,,,,,,,,,,,,,
