Date,JNJ,PFE,MRK,ABBV,LLY,BMY,GILD,AMGN,MDT,SYK,ISRG,DHR,TMO,UNH,HUM,CI,HCA,CVS,ZBH,REGN
2015-01-01,,,,,,,,,,,,,,,,,,,,
2015-01-02,76.95556640625,18.68890953063965,39.10075759887695,42.091426849365234,57.476741790771484,41.793949127197266,66.37438201904297,116.43653106689453,55.08710479736328,82.98160552978516,58.39666748046875,35.05586624145508,124.01415252685547,85.04847717285156,131.5570526123047,93.9272232055664,68.86148834228516,69.6036376953125,100.20893859863281,407.89776611328125
2015-01-05,76.41807556152344,18.587509155273438,39.68189239501953,41.29930114746094,56.91067123413086,41.14081954956055,67.68910217285156,115.05292510986328,54.857181549072266,81.7014389038086,57.1522216796875,34.70824432373047,122.31053924560547,83.64762115478516,128.070068359375,92.31046295166016,66.85066223144531,68.91567993164062,103.94708251953125,410.19500732421875
2015-01-06,76.04256439208984,18.742610931396484,41.24073028564453,41.09487533569336,57.197811126708984,41.070579528808594,68.29056549072266,111.34622192382812,54.581295013427734,81.5866928100586,57.75444412231445,34.471038818359375,121.16836547851562,83.47882080078125,127.96882629394531,92.67582702636719,66.73894500732422,68.96688842773438,103.06595611572266,394.7009582519531
2015-01-07,77.72129821777344,18.999099731445312,42.122703552246094,42.75579071044922,56.79582595825195,41.604331970214844,69.57038116455078,115.23497009277344,55.945438385009766,83.13169860839844,58.071109771728516,34.67961120605469,124.79820251464844,84.3311538696289,130.39779663085938,94.84977722167969,67.94916534423828,70.21113586425781,105.62924194335938,405.47119140625
2015-01-08,78.3324203491211,19.386844635009766,42.970497131347656,43.202964782714844,58.141258239746094,42.64373779296875,71.54248046875,114.81985473632812,57.28660583496094,84.54429626464844,59.22222137451172,35.215354919433594,126.09524536132812,88.35657501220703,136.01002502441406,99.68177032470703,69.75518798828125,71.70421600341797,106.75070190429688,401.0258483886719
2015-01-09,77.26480102539062,19.476314544677734,42.772212982177734,42.021148681640625,57.370079040527344,42.36283493041992,71.47956848144531,113.40708923339844,57.018394470214844,83.52015686035156,57.87444305419922,34.97815704345703,125.59193420410156,87.5295639038086,135.01644897460938,98.64959716796875,69.49451446533203,71.66759490966797,105.2109375,408.77288818359375
2015-01-12,76.99976348876953,19.547897338867188,42.59445571899414,42.00838851928711,56.951690673828125,43.66909408569336,70.78022766113281,113.76393127441406,57.072017669677734,83.00811004638672,58.38999938964844,34.54465103149414,124.3819580078125,86.54218292236328,133.8755645751953,96.9871826171875,67.2137222290039,71.14064025878906,105.46014404296875,411.05023193359375
2015-01-13,77.13227844238281,19.35105323791504,42.51924514770508,40.79838943481445,56.91886520385742,44.32926559448242,67.98283386230469,112.97747039794922,55.784507751464844,83.18466186523438,57.962223052978516,34.495582580566406,124.22711944580078,86.98101806640625,135.0992431640625,97.5809097290039,67.1578598022461,71.16991424560547,105.69156646728516,404.24798583984375
2015-01-14,76.57267761230469,19.374914169311523,42.826900482177734,40.9979133605957,57.230621337890625,44.20988464355469,69.4164810180664,112.99203491210938,55.002803802490234,82.32828521728516,59.48444366455078,33.9516716003418,122.15567779541016,87.20044708251953,135.75242614746094,98.13809204101562,65.59391021728516,71.23580169677734,104.294189453125,402.08001708984375
