Date,PG,KO,PEP,WMT,COST,MO,PM,MDLZ,KMB,CL,KHC,GIS,HSY,SYY,KR,TAP,STZ,EL,CPB,CHD
2015-01-01,,,,,,,,,,,,,,,,,,,,
2015-01-02,66.51834106445312,29.783411026000977,68.5485610961914,23.26656723022461,114.13602447509766,24.54507827758789,47.36125946044922,29.088226318359375,80.58924865722656,53.39670944213867,,36.2231330871582,79.77981567382812,30.09743309020996,25.687419891357422,57.09233474731445,83.4676284790039,65.7178726196289,31.198532104492188,34.136444091796875
2015-01-05,66.20207977294922,29.783411026000977,68.0331802368164,23.1988468170166,112.83839416503906,24.40472984313965,47.004676818847656,28.653366088867188,80.1289291381836,53.00226974487305,,35.56836700439453,79.21820831298828,29.802873611450195,25.505475997924805,56.7445068359375,85.4537124633789,64.92671203613281,30.723464965820312,33.756614685058594
2015-01-06,65.9005355834961,30.009572982788086,67.51785278320312,23.37761688232422,114.32946014404297,24.550086975097656,47.408042907714844,28.45569610595703,79.35476684570312,52.44540023803711,,35.479705810546875,79.47978210449219,29.644268035888672,25.505475997924805,56.473941802978516,86.00157165527344,64.32683563232422,30.51783561706543,33.47606658935547
2015-01-07,66.2462158203125,30.38416290283203,69.49213409423828,23.997886657714844,116.32028198242188,25.001192092895508,47.76460647583008,29.349132537841797,79.90573120117188,52.86306381225586,,36.22994613647461,80.87983703613281,30.512834548950195,26.277751922607422,58.28274917602539,88.21884155273438,64.6224594116211,31.86503791809082,33.851566314697266
2015-01-08,67.00376892089844,30.751684188842773,70.75511169433594,24.504384994506836,117.31969451904297,25.42222785949707,48.483619689941406,29.720741271972656,81.59354400634766,53.58233642578125,,36.82106399536133,82.4414291381836,31.064180374145508,26.766998291015625,60.083797454833984,92.1482162475586,65.55269622802734,32.50908279418945,34.52058792114258
2015-01-09,66.37858581542969,30.412439346313477,70.27603912353516,24.20101547241211,115.51426696777344,25.362075805664062,48.35502243041992,29.428203582763672,80.86125946044922,53.056419372558594,,36.44990539550781,81.85678100585938,31.154808044433594,26.621437072753906,59.967811584472656,91.89139556884766,65.1180191040039,32.41627502441406,34.40835189819336
2015-01-12,66.1358871459961,30.136795043945312,69.98570251464844,24.382495880126953,114.86946868896484,25.522472381591797,48.54792404174805,29.151464462280273,80.73568725585938,52.79344940185547,,36.188724517822266,81.10293579101562,30.86781120300293,26.686134338378906,59.48857116699219,91.57466888427734,64.56159210205078,32.52336883544922,34.30907440185547
2015-01-13,66.41536712646484,30.12973403930664,69.93492126464844,24.190181732177734,113.7168960571289,25.722957611083984,48.57714080810547,28.96172523498535,80.9588851928711,53.156944274902344,,36.229949951171875,82.05677032470703,30.77716827392578,26.686134338378906,58.877933502197266,91.00110626220703,64.78762817382812,32.50908279418945,34.386775970458984
2015-01-14,66.18736267089844,30.08025550842285,70.16716766357422,23.458877563476562,112.28225708007812,25.9284725189209,48.764217376708984,28.898462295532227,81.06350708007812,52.940399169921875,,36.37429428100586,82.3260269165039,30.414648056030273,26.58504295349121,57.958091735839844,92.82452392578125,64.43987274169922,32.5447883605957,34.60259246826172
